,Turbine_ID_x,Timestamp,Gen_RPM_Max,Gen_RPM_Min,Gen_RPM_Avg,Gen_RPM_Std,Gen_Bear_Temp_Avg,Gen_Phase1_Temp_Avg,Gen_Phase2_Temp_Avg,Gen_Phase3_Temp_Avg,Hyd_Oil_Temp_Avg,Gear_Oil_Temp_Avg,Gear_Bear_Temp_Avg,Nac_Temp_Avg,Rtr_RPM_Max,Rtr_RPM_Min,Rtr_RPM_Avg,Amb_WindSpeed_Max,Amb_WindSpeed_Min,Amb_WindSpeed_Avg,Amb_WindSpeed_Std,Amb_WindDir_Relative_Avg,Amb_WindDir_Abs_Avg,Amb_Temp_Avg,Prod_LatestAvg_ActPwrGen0,Prod_LatestAvg_ActPwrGen1,Prod_LatestAvg_ActPwrGen2,Prod_LatestAvg_TotActPwr,Prod_LatestAvg_ReactPwrGen0,Prod_LatestAvg_ReactPwrGen1,Prod_LatestAvg_ReactPwrGen2,Prod_LatestAvg_TotReactPwr,HVTrafo_Phase1_Temp_Avg,HVTrafo_Phase2_Temp_Avg,HVTrafo_Phase3_Temp_Avg,Grd_InverterPhase1_Temp_Avg,Cont_Top_Temp_Avg,Cont_Hub_Temp_Avg,Cont_VCP_Temp_Avg,Gen_SlipRing_Temp_Avg,Spin_Temp_Avg,Blds_PitchAngle_Min,Blds_PitchAngle_Max,Blds_PitchAngle_Avg,Blds_PitchAngle_Std,Cont_VCP_ChokcoilTemp_Avg,Grd_RtrInvPhase1_Temp_Avg,Grd_RtrInvPhase2_Temp_Avg,Grd_RtrInvPhase3_Temp_Avg,Cont_VCP_WtrTemp_Avg,Grd_Prod_Pwr_Avg,Grd_Prod_CosPhi_Avg,Grd_Prod_Freq_Avg,Grd_Prod_VoltPhse1_Avg,Grd_Prod_VoltPhse2_Avg,Grd_Prod_VoltPhse3_Avg,Grd_Prod_CurPhse1_Avg,Grd_Prod_CurPhse2_Avg,Grd_Prod_CurPhse3_Avg,Grd_Prod_Pwr_Max,Grd_Prod_Pwr_Min,Grd_Busbar_Temp_Avg,Rtr_RPM_Std,Amb_WindSpeed_Est_Avg,Grd_Prod_Pwr_Std,Grd_Prod_ReactPwr_Avg,Grd_Prod_ReactPwr_Max,Grd_Prod_ReactPwr_Min,Grd_Prod_ReactPwr_Std,Grd_Prod_PsblePwr_Avg,Grd_Prod_PsblePwr_Max,Grd_Prod_PsblePwr_Min,Grd_Prod_PsblePwr_Std,Grd_Prod_PsbleInd_Avg,Grd_Prod_PsbleInd_Max,Grd_Prod_PsbleInd_Min,Grd_Prod_PsbleInd_Std,Grd_Prod_PsbleCap_Avg,Grd_Prod_PsbleCap_Max,Grd_Prod_PsbleCap_Min,Grd_Prod_PsbleCap_Std,Gen_Bear2_Temp_Avg,Nac_Direction_Avg,RPM_Diff,Power_Diff,Turbine_ID_y,Component,Remarks
10,T06,2017-01-05 03:10:00+00:00,1255.4,202.7,356.3,304.1,32.0,37.0,38.0,39.0,29.0,41.0,44.0,25.0,11.1,1.8,3.2,4.8,0.6000000000000001,2.6,0.6000000000000001,17.8,5.0,13.0,-888.0,0.0,0.0,-888.0,-951.0,0.0,0.0,-951.0,37.0,40.0,36.0,31.0,31.0,22.0,30.0,19.0,15.0,1.2,44.5,22.2,6.9,50.0,31.0,29.0,30.0,30.0,-5.3,0.7000000000000001,50.0,400.8,399.8,396.7,4.7,8.0,7.5,-3.9,-26.5,27.0,2.7,2.6,3.6,-5.7,-4.0,-20.7,3.6,5.1,52.5,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,347.3,891.7,26.400000000000002,,,
11,T06,2017-01-05 06:50:00+00:00,1258.1,14.8,791.2,564.8,36.0,49.0,50.0,51.0,27.0,41.0,47.0,23.0,11.1,0.0,6.9,5.4,0.7000000000000001,2.9,0.8,1.3,321.5,12.0,-994.0,1746.0,0.0,752.0,-1488.0,-4473.0,0.0,-5961.0,36.0,40.0,36.0,33.0,32.0,22.0,30.0,21.0,15.0,-0.3,83.2,22.1,30.1,69.0,33.0,32.0,32.0,32.0,4.3,0.5,50.0,397.4,395.6,394.5,34.3,42.1,31.4,56.5,-27.4,28.0,5.2,2.9,21.9,-35.6,0.5,-124.6,32.8,11.0,57.1,0.0,16.8,-53.6,0.0,-279.6,82.5,53.6,279.6,0.0,82.5,41.0,320.3,457.5999999999999,43.0,,,
12,T06,2017-01-05 07:00:00+00:00,270.2,96.7,224.7,34.7,36.0,47.0,48.0,48.0,28.0,41.0,45.0,23.0,2.3,0.0,1.9,5.3,0.8,2.7,0.6000000000000001,21.1,341.4,12.0,-1311.0,0.0,0.0,-1311.0,-1897.0,0.0,0.0,-1897.0,36.0,40.0,36.0,31.0,33.0,22.0,30.0,20.0,14.0,23.9,24.0,24.0,0.0,65.0,31.0,29.0,30.0,30.0,-7.9,0.6000000000000001,50.0,397.6,395.8,394.5,9.4,12.4,12.3,-6.5,-26.7,28.0,0.6000000000000001,2.7,2.9,-11.4,-9.2,-24.5,3.1,6.4,60.1,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,320.3,566.5,12.2,,,
13,T06,2017-01-05 07:30:00+00:00,1377.2,182.0,680.2,489.0,34.0,41.0,42.0,42.0,28.0,41.0,44.0,23.0,12.2,1.6,6.0,7.6,0.4,2.9,1.0,-7.7,329.7,12.0,-954.0,2617.0,0.0,1663.0,-878.0,2729.0,0.0,1851.0,36.0,40.0,36.0,32.0,33.0,21.0,30.0,19.0,14.0,-2.3,24.0,12.6,11.9,61.0,33.0,30.0,31.0,30.0,9.9,0.5,50.0,401.8,400.2,399.0,60.5,65.2,65.4,162.1,-37.3,27.0,4.3,2.9,29.2,9.4,795.5,-217.3,131.0,24.4,165.0,0.0,26.5,-78.9,0.0,-808.3,125.1,78.9,808.3,0.0,125.1,35.0,337.5,4.100000000000023,14.5,,,
14,T06,2017-01-05 07:50:00+00:00,288.9,231.6,268.8,11.5,35.0,40.0,40.0,41.0,28.0,41.0,44.0,23.0,2.5,2.1,2.4,5.5,1.1,2.8,0.6000000000000001,17.4,22.9,12.0,-1265.0,0.0,0.0,-1265.0,-1847.0,0.0,0.0,-1847.0,36.0,40.0,35.0,33.0,33.0,22.0,30.0,19.0,14.0,24.0,24.0,24.0,0.0,60.0,33.0,31.0,32.0,32.0,-7.6,0.6000000000000001,50.0,400.3,398.9,397.1,8.9,12.6,11.9,-6.8,-26.8,27.0,0.1,2.8,2.5,-11.1,-10.0,-25.5,2.6,8.5,51.3,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.5,644.2,14.3,,,
15,T06,2017-01-05 08:00:00+00:00,1351.0,249.3,899.8,443.6,34.0,38.0,39.0,39.0,28.0,41.0,44.0,23.0,12.0,2.2,8.0,6.7,1.2,3.4,0.6000000000000001,0.3,348.6,12.0,-1094.0,339.0,0.0,-754.0,-1105.0,1358.0,0.0,252.0,36.0,39.0,35.0,33.0,33.0,21.0,30.0,19.0,14.0,-2.3,45.5,9.0,11.6,60.0,34.0,31.0,32.0,32.0,-4.6,0.6000000000000001,50.0,401.0,399.5,398.0,21.6,23.7,24.3,103.2,-49.8,27.0,3.9,3.3,14.0,1.7000000000000002,501.9,-41.9,54.4,23.2,104.7,0.0,22.8,-13.7,0.0,-512.7,53.8,13.7,512.7,0.0,53.8,34.0,348.3,631.0,3.0,,,
16,T06,2017-01-05 08:10:00+00:00,318.7,243.1,278.6,19.5,32.0,37.0,38.0,38.0,28.0,41.0,44.0,23.0,2.8,2.2,2.5,7.2,1.1,3.4,0.6000000000000001,-5.1,350.2,13.0,-1332.0,0.0,0.0,-1332.0,-1900.0,0.0,0.0,-1900.0,36.0,39.0,35.0,33.0,33.0,21.0,31.0,19.0,14.0,24.0,24.0,24.0,0.0,58.0,33.0,31.0,31.0,32.0,-7.9,0.6000000000000001,50.0,400.0,398.4,396.6,9.6,13.0,12.3,-6.9,-31.5,27.0,0.2,3.4,2.9,-11.4,-10.0,-31.6,3.3,39.6,108.2,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,355.3,621.1999999999999,3.3000000000000007,,,
17,T06,2017-01-05 22:20:00+00:00,1266.5,1227.3,1248.8,6.4,39.0,53.0,55.0,55.0,29.0,42.0,47.0,26.0,11.2,10.9,11.1,6.9,1.5,3.4,0.6000000000000001,-5.0,316.3,14.0,0.0,4718.0,0.0,4718.0,0.0,-946.0,0.0,-946.0,41.0,44.0,41.0,38.0,38.0,24.0,36.0,24.0,16.0,-0.7000000000000001,0.9,0.4,0.4,94.0,40.0,38.0,38.0,38.0,28.3,0.4,50.0,397.8,395.5,393.9,77.8,87.9,87.3,93.8,-15.4,35.0,0.1,3.7,19.1,-5.9,265.9,-301.1,104.7,28.6,95.4,0.0,18.8,-139.9,0.0,-467.5,92.0,139.9,467.5,0.0,92.0,42.0,321.3,3.1000000000001364,19.8,,,
18,T06,2017-01-05 22:30:00+00:00,1262.7,149.9,659.5,466.2,39.0,53.0,54.0,54.0,29.0,42.0,46.0,26.0,11.2,0.0,5.8,5.3,0.4,3.1,0.6000000000000001,-33.0,283.0,14.0,-1538.0,245.0,0.0,-1293.0,-1921.0,-21.0,0.0,-1942.0,41.0,44.0,40.0,37.0,38.0,24.0,36.0,23.0,16.0,0.5,63.3,16.6,12.8,93.0,38.0,36.0,36.0,37.0,-7.8,0.6000000000000001,50.0,398.5,396.7,394.4,17.5,21.3,20.2,33.4,-32.6,35.0,4.2,3.1,10.2,-11.7,120.8,-67.8,18.4,16.0,76.2,0.0,17.3,-9.0,0.0,-165.1,28.1,9.0,165.1,0.0,28.1,42.0,316.1,589.3,36.1,,,
19,T06,2017-01-05 22:50:00+00:00,1367.4,300.5,964.0,420.5,37.0,47.0,48.0,48.0,29.0,42.0,45.0,26.0,12.1,2.6,8.5,5.6,1.6,3.2,0.5,0.8,316.2,14.0,-871.0,1441.0,0.0,570.0,-659.0,2561.0,0.0,1902.0,40.0,43.0,40.0,36.0,37.0,23.0,35.0,22.0,16.0,-2.3,24.0,7.2,10.2,82.0,37.0,35.0,35.0,35.0,3.5,0.5,50.0,398.5,396.7,394.3,43.2,45.2,48.7,132.8,-45.5,34.0,3.7,3.4,20.5,11.8,651.7,-129.8,88.6,25.0,136.3,0.0,20.6,-45.1,0.0,-667.9,83.2,45.1,667.9,0.0,83.2,37.0,315.4,669.8,13.4,,,
20,T06,2017-01-05 23:00:00+00:00,1351.2,173.2,730.0,465.2,36.0,46.0,47.0,47.0,29.0,42.0,45.0,26.0,11.9,1.7000000000000002,6.5,6.2,0.4,3.0,0.6000000000000001,8.1,325.9,14.0,-1517.0,140.0,0.0,-1377.0,-1561.0,1465.0,0.0,-96.0,40.0,43.0,40.0,36.0,37.0,23.0,35.0,22.0,16.0,-2.3,58.5,13.7,12.9,79.0,37.0,35.0,35.0,36.0,-8.4,0.6000000000000001,50.0,399.3,397.8,394.6,23.1,23.2,25.1,95.6,-49.6,33.0,4.1,3.1,14.2,-0.7000000000000001,467.5,-29.0,51.3,15.0,96.4,0.0,18.9,-11.1,0.0,-472.2,51.5,11.1,472.2,0.0,51.5,37.0,317.8,234.0,11.9,,,
21,T06,2017-01-06 01:00:00+00:00,1255.2,1234.1,1248.3,2.5,30.0,41.0,42.0,43.0,29.0,42.0,47.0,25.0,11.1,10.9,11.1,6.2,1.5,3.7,0.6000000000000001,-5.8,45.9,13.0,0.0,5984.0,0.0,5984.0,0.0,-2009.0,0.0,-2009.0,38.0,42.0,38.0,35.0,33.0,22.0,31.0,22.0,15.0,-0.9,0.9,0.1,0.5,65.0,36.0,34.0,34.0,33.0,35.6,0.4,50.0,400.4,398.3,396.8,107.8,117.0,116.1,95.2,-4.2,30.0,0.0,3.7,27.0,-13.4,395.0,-450.8,163.3,35.4,93.6,0.0,26.7,-173.6,0.0,-457.0,130.5,173.6,457.0,0.0,130.5,35.0,51.7,2.2000000000000455,60.199999999999996,,,
22,T06,2017-01-06 01:10:00+00:00,1262.0,175.8,608.2,444.6,32.0,43.0,44.0,45.0,29.0,42.0,46.0,26.0,11.2,1.7000000000000002,5.4,5.6,0.7000000000000001,3.7,0.5,5.3,51.2,14.0,-902.0,36.0,0.0,-866.0,-935.0,41.0,0.0,-894.0,38.0,42.0,38.0,33.0,33.0,22.0,32.0,21.0,15.0,0.3,57.0,17.7,11.5,66.0,33.0,31.0,32.0,32.0,-5.3,0.7000000000000001,50.0,400.2,398.9,396.7,8.4,11.5,10.8,13.2,-28.7,30.0,3.9,3.7,5.3,-5.5,50.7,-41.1,9.6,52.4,89.7,0.0,23.8,-2.0,0.0,-68.9,9.9,2.0,68.9,0.0,9.9,37.0,45.8,640.0999999999999,40.9,,,
23,T06,2017-01-08 20:00:00+00:00,1260.5,1238.5,1249.1,2.5,38.0,53.0,55.0,55.0,30.0,44.0,48.0,27.0,11.2,11.0,11.1,5.4,1.3,3.3,0.6000000000000001,-1.5,86.3,14.0,-263.0,3122.0,0.0,2859.0,-338.0,882.0,0.0,544.0,42.0,45.0,41.0,38.0,38.0,24.0,37.0,24.0,16.0,-0.1,3.4,0.8,0.9,94.0,39.0,37.0,37.0,38.0,17.0,0.4,50.0,397.3,395.7,392.3,72.7,70.9,83.0,48.2,-26.8,36.0,0.0,3.4,17.7,4.0,190.2,-186.9,98.2,19.0,48.6,0.0,15.2,-92.0,0.0,-238.0,75.1,92.0,238.0,0.0,75.1,36.0,87.8,0.3999999999998636,14.5,,,
24,T06,2017-01-08 20:10:00+00:00,1251.9,172.7,302.6,127.3,38.0,52.0,53.0,53.0,30.0,43.0,46.0,28.0,11.1,1.7000000000000002,2.7,5.5,0.8,3.2,0.5,10.5,90.3,14.0,-1476.0,0.0,0.0,-1476.0,-1969.0,0.0,0.0,-1969.0,42.0,45.0,41.0,38.0,38.0,24.0,37.0,23.0,16.0,3.3,59.9,24.5,4.6,90.0,38.0,36.0,36.0,38.0,-8.8,0.6000000000000001,50.0,395.0,394.7,389.7,10.9,13.9,12.9,-7.4,-31.3,35.0,1.2,3.2,4.0,-11.8,-9.7,-30.2,3.9,25.4,63.8,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,79.8,946.4999999999999,25.8,,,
25,T06,2017-01-09 05:20:00+00:00,1360.6,317.5,1189.4,202.3,20.0,26.0,26.0,27.0,27.0,36.0,37.0,20.0,12.0,2.8,10.5,6.0,0.7000000000000001,3.4,0.6000000000000001,-4.2,350.0,10.0,-343.0,2683.0,0.0,2340.0,79.0,835.0,0.0,913.0,34.0,37.0,33.0,29.0,29.0,19.0,26.0,16.0,12.0,-2.3,24.0,1.1,3.5,26.0,30.0,29.0,29.0,25.0,14.0,0.4,50.0,400.2,398.1,396.7,59.6,64.6,65.5,115.9,-44.1,21.0,1.8,3.5,20.2,5.6,568.5,-172.9,98.4,25.9,121.8,0.0,21.0,-83.0,0.0,-596.7,85.7,83.0,596.7,0.0,85.7,23.0,354.3,888.1000000000001,18.8,,,
26,T06,2017-01-09 05:30:00+00:00,1252.6,170.1,313.9,256.0,21.0,27.0,27.0,28.0,27.0,37.0,38.0,20.0,11.1,1.7000000000000002,2.8,5.8,0.4,2.8,0.6000000000000001,3.2,4.2,10.0,-870.0,0.0,0.0,-870.0,-928.0,0.0,0.0,-928.0,34.0,37.0,33.0,29.0,29.0,19.0,27.0,16.0,12.0,2.0,56.7,23.3,6.7,29.0,29.0,29.0,29.0,27.0,-5.2,0.7000000000000001,50.0,396.6,395.0,392.7,4.8,7.8,7.3,-3.8,-24.0,22.0,2.3,2.8,4.0,-5.5,-3.8,-19.9,3.6,8.6,68.5,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,875.5000000000001,19.2,,,
27,T06,2017-01-09 06:30:00+00:00,418.4,134.1,178.3,33.3,28.0,26.0,26.0,27.0,27.0,36.0,38.0,20.0,4.6,0.0,1.1,4.7,0.4,2.2,0.6000000000000001,-36.1,326.2,10.0,-834.0,0.0,0.0,-834.0,-914.0,0.0,0.0,-914.0,33.0,37.0,33.0,29.0,29.0,19.0,26.0,15.0,12.0,24.0,56.8,24.6,3.6,27.0,29.0,29.0,29.0,24.0,-5.0,0.7000000000000001,50.0,398.2,397.1,395.2,4.6,7.6,7.5,-3.8,-23.7,21.0,0.9,2.2,3.6,-5.5,-3.9,-20.5,4.3,0.8,25.3,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.4,539.9000000000001,0.40000000000000036,,,
