Time_Detected,Time_Reset,Turbine_Identifier,Remark,Unit_Title_Destination
2017-01-02 23:06:19+00:00,,T07,"GearoilCooler 1, gear:  49Â°C",
2017-01-02 23:20:22+00:00,,T07,External power ref.:2000kW,
2017-01-02 23:48:37+00:00,,T07,"Nac.vent.1, nac/gear: 24/ 51Â°C",
2017-01-02 23:50:22+00:00,,T07,External power ref.:2000kW,
2017-01-03 00:20:22+00:00,,T07,External power ref.:2000kW,
2017-01-03 00:50:22+00:00,,T07,External power ref.:2000kW,
2017-01-03 01:20:21+00:00,,T07,External power ref.:2000kW,
2017-01-03 01:50:21+00:00,,T07,External power ref.:2000kW,
2017-01-03 02:20:21+00:00,,T07,External power ref.:2000kW,
2017-01-03 02:31:15+00:00,,T07,Pitch accu fail 0 1Z14/ 1 3Z2,
2017-01-03 02:33:27+00:00,,T07,Accumulator test done -> OK,
2017-01-03 02:35:31+00:00,,T07,Generator 1 in,
2017-01-03 02:38:56+00:00,,T07,"Gen. int. vent. 1, temp: 54Â°C",
2017-01-03 02:50:21+00:00,,T07,External power ref.:2000kW,
2017-01-03 03:20:21+00:00,,T07,External power ref.:2000kW,
2017-01-03 03:50:21+00:00,,T07,External power ref.:2000kW,
2017-01-03 04:20:20+00:00,,T07,External power ref.:2000kW,
2017-01-03 04:29:15+00:00,,T07,Generator 1 in,
2017-01-03 04:29:31+00:00,,T07,External power ref.:2000kW,
2017-01-03 04:59:31+00:00,,T07,External power ref.:2000kW,
2017-01-03 05:05:06+00:00,,T07,"HV Trafo. vent. 0, temp:  2Â°C",
2017-01-03 05:29:31+00:00,,T07,External power ref.:2000kW,
2017-01-03 05:59:30+00:00,,T07,External power ref.:2000kW,
2017-01-03 06:29:30+00:00,,T07,External power ref.:2000kW,
2017-01-03 06:59:30+00:00,,T07,External power ref.:2000kW,
2017-01-03 07:29:30+00:00,,T07,External power ref.:2000kW,
2017-01-03 07:59:29+00:00,,T07,External power ref.:2000kW,
2017-01-03 08:29:29+00:00,,T07,External power ref.:2000kW,
2017-01-03 08:59:29+00:00,,T07,External power ref.:2000kW,
2017-01-03 09:15:36+00:00,,T07,Generator 1 in,
2017-01-03 09:29:29+00:00,,T07,External power ref.:2000kW,
2017-01-03 09:54:51+00:00,,T07,Key switch: Local control,
2017-01-03 09:54:52+00:00,,T07,User    0 primary access,
2017-01-03 09:54:52+00:00,,T07,Key switch: Local/Remote,
2017-01-03 09:54:54+00:00,,T07,Key switch: Local control,
2017-01-03 09:55:16+00:00,2017-01-03 10:56:22+00:00,T07,Pause pressed on keyboard,
2017-01-03 09:55:17+00:00,,T07,Pause   56.0kW  1247RPM,
2017-01-03 09:55:17+00:00,,T07,Extra info. Err:900 P:  56.0kW,
2017-01-03 09:55:21+00:00,,T07,"New SERVICE state: 1,    0",
2017-01-03 09:55:22+00:00,,T07,"Gen. ext. vent. 0, temp: 54Â°C",
2017-01-03 09:55:22+00:00,,T07,"Gen. int. vent. 0, temp: 54Â°C",
2017-01-03 09:55:22+00:00,,T07,"Nac.vent.0, nac/gear: 21/ 42Â°C",
2017-01-03 09:55:47+00:00,,T07,"New SERVICE state: 0,    0",
2017-01-03 09:55:48+00:00,,T07,"Gen. ext. vent. 1, temp: 54Â°C",
2017-01-03 09:55:48+00:00,,T07,"Gen. int. vent. 1, temp: 54Â°C",
2017-01-03 09:55:48+00:00,,T07,"Nac.vent.1, nac/gear: 21/ 42Â°C",
2017-01-03 09:59:28+00:00,,T07,External power ref.:2000kW,
2017-01-03 10:08:43+00:00,,T07,"New SERVICE state: 1,    0",
2017-01-03 10:08:44+00:00,,T07,"Gen. ext. vent. 0, temp: 50Â°C",
2017-01-03 10:08:44+00:00,,T07,"Gen. int. vent. 0, temp: 50Â°C",
2017-01-03 10:08:44+00:00,,T07,"Nac.vent.0, nac/gear: 24/ 42Â°C",
2017-01-03 10:29:28+00:00,,T07,External power ref.:2000kW,
2017-01-03 10:56:14+00:00,,T07,"New SERVICE state: 0,    0",
2017-01-03 10:56:15+00:00,,T07,"Nac.vent.1, nac/gear: 28/ 41Â°C",
2017-01-03 10:56:18+00:00,,T07,Key switch: Local/Remote,
2017-01-03 10:56:22+00:00,,T07,Run,
2017-01-03 10:56:26+00:00,,T07,Key switch: Remote control,
2017-01-03 10:59:28+00:00,,T07,External power ref.:2000kW,
2017-01-03 11:02:41+00:00,,T07,Generator 1 in,
2017-01-03 11:02:58+00:00,,T07,External power ref.:2000kW,
2017-01-03 11:16:45+00:00,,T07,"Gen. ext. vent. 1, temp: 50Â°C",
2017-01-03 11:16:45+00:00,,T07,"Gen. int. vent. 1, temp: 50Â°C",
2017-01-03 11:32:58+00:00,,T07,External power ref.:2000kW,
2017-01-03 12:02:57+00:00,,T07,External power ref.:2000kW,
2017-01-03 13:45:34+00:00,,T07,"Gen. int. vent. 0, temp: 34Â°C",
2017-01-03 13:45:34+00:00,,T07,"Gen. ext. vent. 0, temp: 34Â°C",
2017-01-03 15:16:59+00:00,,T07,"Nac.vent.0, nac/gear: 26/ 39Â°C",
2017-01-03 17:19:21+00:00,,T07,"Nac.vent.1, nac/gear: 30/ 36Â°C",
2017-01-03 17:19:22+00:00,,T07,"Nac.vent.2, nac/gear: 30/ 36Â°C",
2017-01-03 17:56:08+00:00,,T07,"Nac.vent.1, nac/gear: 25/ 36Â°C",
2017-01-03 17:56:09+00:00,,T07,"Nac.vent.0, nac/gear: 25/ 36Â°C",
2017-01-03 18:53:33+00:00,,T07,"Nac.vent.1, nac/gear: 28/ 35Â°C",
2017-01-04 02:12:53+00:00,,T07,"Gen SlipR. Heat:  1, t:  17Â°C",
2017-01-04 02:12:53+00:00,,T07,Heating slipring time  584 Sec,
2017-01-04 03:22:38+00:00,,T07,"Gen SlipR. Heat:  1, t:  17Â°C",
2017-01-04 03:22:38+00:00,,T07,Heating slipring time  569 Sec,
2017-01-04 04:32:09+00:00,,T07,Heating slipring time  569 Sec,
2017-01-04 04:32:09+00:00,,T07,"Gen SlipR. Heat:  1, t:  17Â°C",
2017-01-04 05:00:14+00:00,,T07,"Nac.vent.0, nac/gear: 21/ 29Â°C",
2017-01-04 05:41:39+00:00,,T07,"Gen SlipR. Heat:  1, t:  18Â°C",
2017-01-04 05:41:39+00:00,,T07,Heating slipring time  614 Sec,
2017-01-04 09:28:33+00:00,,T07,"Nac.vent.1, nac/gear: 25/ 29Â°C",
2017-01-04 09:37:27+00:00,,T07,Heating slipring time  614 Sec,
2017-01-04 09:37:27+00:00,,T07,"Gen SlipR. Heat:  1, t:  17Â°C",
2017-01-04 10:12:13+00:00,,T07,"Nac.vent.0, nac/gear: 22/ 29Â°C",
2017-01-04 10:39:55+00:00,,T07,"Gen SlipR. Heat:  1, t:  18Â°C",
2017-01-04 10:39:55+00:00,,T07,Heating slipring time  673 Sec,
2017-01-04 12:03:33+00:00,,T07,Yaw Speed Exc:  0Â° Rate:10sec,
2017-01-04 13:05:53+00:00,,T07,Yawcontr. from:30011 to:30010,
2017-01-04 13:46:56+00:00,,T07,"Nac.vent.1, nac/gear: 29/ 29Â°C",
2017-01-04 13:47:20+00:00,,T07,Generator 1 in,
2017-01-04 13:47:32+00:00,,T07,External power ref.:2000kW,
2017-01-04 13:57:04+00:00,,T07,High pres offlin:1256RPM/ 33Â°C,
2017-01-04 14:02:38+00:00,,T07,Accumulator test done -> OK,
2017-01-04 14:12:06+00:00,,T07,Generator 1 in,
2017-01-04 14:12:15+00:00,,T07,External power ref.:2000kW,
2017-01-04 14:35:20+00:00,,T07,Generator 1 in,
2017-01-04 14:35:39+00:00,,T07,External power ref.:2000kW,
2017-01-04 14:56:11+00:00,,T07,Generator 1 in,
2017-01-04 14:56:26+00:00,,T07,External power ref.:2000kW,
2017-01-04 15:14:51+00:00,,T07,Generator 1 in,
2017-01-04 15:23:04+00:00,,T07,Generator 1 in,
2017-01-04 15:26:26+00:00,,T07,External power ref.:2000kW,
2017-01-04 15:31:23+00:00,,T07,"Gen. ext. vent. 1, temp: 50Â°C",
2017-01-04 15:31:23+00:00,,T07,"Gen. int. vent. 1, temp: 50Â°C",
2017-01-04 15:42:52+00:00,,T07,Generator 1 in,
2017-01-04 15:43:11+00:00,,T07,External power ref.:2000kW,
2017-01-04 15:44:05+00:00,,T07,Yawcontr. from:30010 to:30011,
2017-01-04 15:47:14+00:00,,T07,Yaw Speed Exc:  0Â° Rate:10sec,
2017-01-04 15:48:31+00:00,,T07,Generator 1 in,
2017-01-04 15:58:10+00:00,,T07,Yaw Speed Exc:  0Â° Rate:10sec,
2017-01-04 15:59:21+00:00,,T07,Yaw Speed Exc:  0Â° Rate:10sec,
2017-01-04 16:00:42+00:00,,T07,Yaw Speed Exc:  0Â° Rate:10sec,
2017-01-04 16:10:05+00:00,,T07,Generator 1 in,
2017-01-04 16:10:18+00:00,,T07,External power ref.:2000kW,
2017-01-04 16:24:07+00:00,,T07,Generator 1 in,
2017-01-04 16:40:18+00:00,,T07,External power ref.:2000kW,
2017-01-04 16:44:35+00:00,,T07,Generator 1 in,
2017-01-04 16:53:39+00:00,,T07,Generator 1 in,
2017-01-04 17:10:17+00:00,,T07,External power ref.:2000kW,
2017-01-04 17:40:17+00:00,,T07,External power ref.:2000kW,
2017-01-04 17:43:43+00:00,,T07,Yawcontr. from:30011 to:30010,
2017-01-04 18:10:17+00:00,,T07,External power ref.:2000kW,
2017-01-04 19:36:58+00:00,,T07,Generator 1 in,
2017-01-04 19:37:13+00:00,,T07,External power ref.:2000kW,
2017-01-04 19:59:47+00:00,,T07,Generator 1 in,
2017-01-04 20:00:00+00:00,,T07,External power ref.:2000kW,
2017-01-04 20:31:06+00:00,,T07,Generator 1 in,
2017-01-04 20:31:20+00:00,,T07,External power ref.:2000kW,
2017-01-04 21:01:20+00:00,,T07,External power ref.:2000kW,
2017-01-04 21:31:20+00:00,,T07,External power ref.:2000kW,
2017-01-04 22:01:19+00:00,,T07,External power ref.:2000kW,
2017-01-04 22:31:19+00:00,,T07,External power ref.:2000kW,
2017-01-04 22:58:12+00:00,,T07,Generator 1 in,
2017-01-04 22:58:22+00:00,,T07,External power ref.:2000kW,
2017-01-04 23:28:22+00:00,,T07,External power ref.:2000kW,
2017-01-05 00:08:10+00:00,,T07,Yawcontr. from:30010 to:30011,
2017-01-05 00:44:48+00:00,,T07,"Gen. int. vent. 0, temp: 34Â°C",
2017-01-05 00:44:48+00:00,,T07,"Gen. ext. vent. 0, temp: 34Â°C",
2017-01-05 01:23:07+00:00,,T07,Generator 1 in,
2017-01-05 01:23:24+00:00,,T07,External power ref.:2000kW,
2017-01-05 01:53:24+00:00,,T07,External power ref.:2000kW,
2017-01-05 02:41:02+00:00,,T07,Generator 1 in,
2017-01-05 02:41:14+00:00,,T07,External power ref.:2000kW,
2017-01-05 05:33:31+00:00,,T07,Generator 1 in,
2017-01-05 05:33:45+00:00,,T07,External power ref.:2000kW,
2017-01-05 05:55:14+00:00,,T07,"Gen. ext. vent. 1, temp: 50Â°C",
2017-01-05 05:55:14+00:00,,T07,"Gen. int. vent. 1, temp: 50Â°C",
2017-01-05 06:03:45+00:00,,T07,External power ref.:2000kW,
2017-01-05 06:12:37+00:00,,T07,"Nac.vent.0, nac/gear: 19/ 41Â°C",
2017-01-05 06:33:44+00:00,,T07,External power ref.:2000kW,
2017-01-05 06:51:16+00:00,,T07,Generator 1 in,
2017-01-05 07:03:44+00:00,,T07,External power ref.:2000kW,
2017-01-05 07:28:16+00:00,,T07,Yaw Speed Exc:  0Â° Rate:10sec,
2017-01-05 07:33:44+00:00,,T07,External power ref.:2000kW,
2017-01-05 07:45:46+00:00,,T07,Generator 1 in,
2017-01-05 07:45:57+00:00,,T07,External power ref.:2000kW,
2017-01-05 09:04:52+00:00,,T07,Yaw Speed Exc:  0Â° Rate:10sec,
2017-01-05 09:27:23+00:00,,T07,"Gen. int. vent. 0, temp: 34Â°C",
2017-01-05 09:27:23+00:00,,T07,"Gen. ext. vent. 0, temp: 34Â°C",
2017-01-05 09:29:51+00:00,,T07,"Nac.vent.1, nac/gear: 25/ 44Â°C",
2017-01-05 10:25:30+00:00,,T07,Yaw Speed Exc:  0Â° Rate:10sec,
2017-01-05 10:27:21+00:00,,T07,Yaw Speed Exc:  0Â° Rate:10sec,
2017-01-05 10:42:55+00:00,,T07,Running up timeout,
2017-01-05 10:49:47+00:00,,T07,Running up timeout,
2017-01-05 11:02:29+00:00,,T07,Generator 1 in,
2017-01-05 11:02:46+00:00,,T07,External power ref.:2000kW,
2017-01-05 11:32:45+00:00,,T07,External power ref.:2000kW,
2017-01-05 11:42:19+00:00,,T07,"Gen. ext. vent. 1, temp: 50Â°C",
2017-01-05 11:42:19+00:00,,T07,"Gen. int. vent. 1, temp: 50Â°C",
2017-01-05 12:02:45+00:00,,T07,External power ref.:2000kW,
2017-01-05 12:32:45+00:00,,T07,External power ref.:2000kW,
2017-01-05 13:02:45+00:00,,T07,External power ref.:2000kW,
2017-01-05 13:05:46+00:00,,T07,Generator 1 in,
2017-01-05 13:05:58+00:00,,T07,External power ref.:2000kW,
2017-01-05 13:10:29+00:00,,T07,Generator 1 in,
2017-01-05 13:35:58+00:00,,T07,External power ref.:2000kW,
2017-01-05 14:05:58+00:00,,T07,External power ref.:2000kW,
2017-01-05 14:35:57+00:00,,T07,External power ref.:2000kW,
2017-01-05 15:05:57+00:00,,T07,External power ref.:2000kW,
2017-01-05 15:35:57+00:00,,T07,External power ref.:2000kW,
2017-01-05 15:41:18+00:00,,T07,"Gen. ext. vent. 2, temp: 65Â°C",
2017-01-05 16:05:57+00:00,,T07,External power ref.:2000kW,
2017-01-05 16:35:56+00:00,,T07,External power ref.:2000kW,
2017-01-05 17:05:56+00:00,,T07,External power ref.:2000kW,
2017-01-05 17:35:56+00:00,,T07,External power ref.:2000kW,
2017-01-05 18:05:56+00:00,,T07,External power ref.:2000kW,
2017-01-05 18:35:56+00:00,,T07,External power ref.:2000kW,
2017-01-05 19:05:55+00:00,,T07,External power ref.:2000kW,
2017-01-05 19:35:55+00:00,,T07,External power ref.:2000kW,
2017-01-05 20:05:55+00:00,,T07,External power ref.:2000kW,
2017-01-05 20:35:55+00:00,,T07,External power ref.:2000kW,
2017-01-05 21:05:54+00:00,,T07,External power ref.:2000kW,
2017-01-05 21:35:54+00:00,,T07,External power ref.:2000kW,
2017-01-05 22:05:54+00:00,,T07,External power ref.:2000kW,
2017-01-05 22:29:46+00:00,,T07,Generator 1 in,
2017-01-05 22:29:55+00:00,,T07,External power ref.:2000kW,
2017-01-05 22:34:28+00:00,,T07,"Gen. ext. vent. 1, temp: 49Â°C",
2017-01-05 22:37:35+00:00,,T07,Generator 1 in,
2017-01-05 22:37:52+00:00,,T07,External power ref.:2000kW,
2017-01-05 23:07:51+00:00,,T07,External power ref.:2000kW,
2017-01-05 23:27:38+00:00,,T07,Generator 1 in,
2017-01-05 23:37:51+00:00,,T07,External power ref.:2000kW,
2017-01-05 23:38:03+00:00,,T07,Generator 1 in,
2017-01-05 23:38:20+00:00,,T07,External power ref.:2000kW,
2017-01-05 23:46:30+00:00,,T07,Yaw Speed Exc:  0Â° Rate:10sec,
2017-01-06 00:27:52+00:00,,T07,Generator 1 in,
2017-01-06 00:28:09+00:00,,T07,External power ref.:2000kW,
2017-01-06 00:58:09+00:00,,T07,External power ref.:2000kW,
2017-01-06 01:17:11+00:00,,T07,Generator 1 in,
2017-01-06 01:17:23+00:00,,T07,External power ref.:2000kW,
2017-01-06 01:57:49+00:00,,T07,"Gen. int. vent. 0, temp: 34Â°C",
2017-01-06 01:57:49+00:00,,T07,"Gen. ext. vent. 0, temp: 34Â°C",
2017-01-06 02:13:19+00:00,,T07,Generator 1 in,
2017-01-06 02:13:43+00:00,,T07,External power ref.:2000kW,
2017-01-06 02:43:42+00:00,,T07,External power ref.:2000kW,
2017-01-06 02:53:12+00:00,,T07,"Gen. int. vent. 1, temp: 50Â°C",
2017-01-06 02:53:12+00:00,,T07,"Gen. ext. vent. 1, temp: 50Â°C",
2017-01-06 03:13:42+00:00,,T07,External power ref.:2000kW,
2017-01-06 03:43:42+00:00,,T07,External power ref.:2000kW,
2017-01-06 04:13:42+00:00,,T07,External power ref.:2000kW,
2017-01-06 04:43:41+00:00,,T07,External power ref.:2000kW,
2017-01-06 05:13:41+00:00,,T07,External power ref.:2000kW,
2017-01-06 05:38:54+00:00,,T07,"Gen. ext. vent. 2, temp: 65Â°C",
2017-01-06 05:43:41+00:00,,T07,External power ref.:2000kW,
2017-01-06 06:13:41+00:00,,T07,External power ref.:2000kW,
2017-01-06 06:43:41+00:00,,T07,External power ref.:2000kW,
2017-01-06 07:13:40+00:00,,T07,External power ref.:2000kW,
2017-01-06 07:25:42+00:00,,T07,"Gen. int. vent. 2, temp: 70Â°C",
2017-01-06 07:43:40+00:00,,T07,External power ref.:2000kW,
2017-01-06 08:13:40+00:00,,T07,External power ref.:2000kW,
2017-01-06 08:43:40+00:00,,T07,External power ref.:2000kW,
2017-01-06 09:13:39+00:00,,T07,External power ref.:2000kW,
2017-01-06 09:43:39+00:00,,T07,External power ref.:2000kW,
2017-01-06 10:13:39+00:00,,T07,External power ref.:2000kW,
2017-01-06 10:43:39+00:00,,T07,External power ref.:2000kW,
2017-01-06 11:13:38+00:00,,T07,External power ref.:2000kW,
2017-01-06 11:43:38+00:00,,T07,External power ref.:2000kW,
2017-01-06 11:44:41+00:00,,T07,"GearoilCooler 2, gear:  57Â°C",
2017-01-06 12:13:38+00:00,,T07,External power ref.:2000kW,
2017-01-06 12:17:40+00:00,,T07,"Nac.vent.2, nac/gear: 26/ 60Â°C",
2017-01-06 12:43:38+00:00,,T07,External power ref.:2000kW,
2017-01-06 13:13:38+00:00,,T07,External power ref.:2000kW,
2017-01-06 13:43:38+00:00,,T07,External power ref.:2000kW,
2017-01-06 13:54:00+00:00,,T07,"HV Trafo. vent. 1, temp:  2Â°C",
2017-01-06 14:13:37+00:00,,T07,External power ref.:2000kW,
2017-01-06 14:43:37+00:00,,T07,External power ref.:2000kW,
2017-01-06 15:13:37+00:00,,T07,External power ref.:2000kW,
2017-01-06 15:43:37+00:00,,T07,External power ref.:2000kW,
2017-01-06 16:13:37+00:00,,T07,External power ref.:2000kW,
2017-01-06 16:43:36+00:00,,T07,External power ref.:2000kW,
2017-01-06 17:13:36+00:00,,T07,External power ref.:2000kW,
2017-01-06 17:43:36+00:00,,T07,External power ref.:2000kW,
2017-01-06 18:13:35+00:00,,T07,External power ref.:2000kW,
2017-01-06 18:43:35+00:00,,T07,External power ref.:2000kW,
2017-01-06 19:13:34+00:00,,T07,External power ref.:2000kW,
2017-01-06 19:43:34+00:00,,T07,External power ref.:2000kW,
2017-01-06 20:13:34+00:00,,T07,External power ref.:2000kW,
2017-01-06 20:43:34+00:00,,T07,External power ref.:2000kW,
2017-01-06 21:13:33+00:00,,T07,External power ref.:2000kW,
2017-01-06 21:43:33+00:00,,T07,External power ref.:2000kW,
2017-01-06 22:13:34+00:00,,T07,External power ref.:2000kW,
2017-01-06 22:20:07+00:00,,T07,"GearoilCooler 1, gear:  49Â°C",
2017-01-06 22:43:33+00:00,,T07,External power ref.:2000kW,
2017-01-06 22:52:26+00:00,,T07,"GearoilCooler 2, gear:  57Â°C",
2017-01-06 23:13:33+00:00,,T07,External power ref.:2000kW,
2017-01-06 23:43:33+00:00,,T07,External power ref.:2000kW,
2017-01-06 23:44:26+00:00,,T07,"GearoilCooler 1, gear:  49Â°C",
2017-01-07 00:13:32+00:00,,T07,External power ref.:2000kW,
2017-01-07 00:40:57+00:00,,T07,"GearoilCooler 2, gear:  57Â°C",
2017-01-07 00:43:32+00:00,,T07,External power ref.:2000kW,
2017-01-07 01:13:32+00:00,,T07,External power ref.:2000kW,
